# List Network Requests

| reqid | method | url | status |
|---|---|---|---|
| 51 | GET | http://localhost:5000/api/disasters/earthquakes | success - 200 |
| 52 | GET | http://localhost:5000/api/globe/fires | success - 200 |
| 53 | GET | http://localhost:5000/api/disasters/floods | success - 200 |
| 54 | GET | http://localhost:5000/api/disasters/cyclones | success - 200 |
| 56 | GET | http://localhost:5000/api/disasters/volcanoes | success - 200 |
| 57 | GET | http://localhost:5000/api/disasters/eonet | success - 200 |
| 58 | GET | http://localhost:5000/api/agent/status | success - 200 |
| 59 | GET | http://localhost:5000/api/data | success - 200 |
| 60 | GET | http://localhost:5000/api/disasters-proximity | success - 200 |
| 61 | GET | http://localhost:5000/api/agent/status | success - 200 |
| 62 | GET | http://localhost:5000/api/data | success - 200 |
| 63 | GET | http://localhost:5000/api/disasters-proximity | success - 200 |
| 65 | GET | https://api.cesium.com/v1/assets/2/endpoint?access_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJhMzVlNTU2ZC1lYmM1LTQ2OWEtODRhOS0wYTFkODZmZTQ0OTgiLCJpZCI6MjU5LCJpYXQiOjE3NzI0ODIxOTR9.1oVHvVA9yr1C3CbLjlzcQQUyBuUuNaNCcc9_Giy8t7U | success - 200 |
| 66 | GET | http://localhost:5173/cesium/Assets/approximateTerrainHeights.json | success - 200 |
| 67 | GET | http://localhost:5173/cesium/Assets/IAU2006_XYS/IAU2006_XYS_18.json | success - 200 |
| 71 | GET | http://localhost:5000/api/globe/companies | success - 200 |
| 72 | GET | http://localhost:5000/api/globe/countries | success - 200 |
| 73 | GET | http://localhost:5000/api/globe/air-quality | success - 200 |
| 74 | GET | http://localhost:5000/api/globe/grid | success - 200 |
| 75 | GET | http://localhost:5000/api/globe/news-velocity | success - 200 |
| 76 | GET | http://localhost:5000/api/globe/assets | success - 200 |
| 77 | GET | http://localhost:5000/api/gpm-imerg | success - 200 |
| 78 | GET | http://localhost:5000/api/sentinel-5p | success - 200 |
| 79 | GET | http://localhost:5000/api/biodiversity | success - 200 |
| 80 | GET | http://localhost:5000/api/ocean-currents | success - 200 |
| 81 | GET | http://localhost:5000/api/water-stress | success - 200 |
| 82 | GET | http://localhost:5000/api/forest-loss | success - 200 |
| 83 | GET | http://localhost:5000/api/coral-bleaching | success - 200 |
| 84 | GET | http://localhost:5000/api/fishing-watch | success - 200 |
| 87 | GET | http://localhost:5173/cesium/Assets/Textures/SkyBox/tycho2t3_80_px.jpg | success - 200 |
| 88 | GET | http://localhost:5173/cesium/Assets/Textures/SkyBox/tycho2t3_80_mx.jpg | success - 200 |
| 89 | GET | http://localhost:5173/cesium/Assets/Textures/SkyBox/tycho2t3_80_py.jpg | success - 200 |
| 90 | GET | http://localhost:5173/cesium/Assets/Textures/SkyBox/tycho2t3_80_my.jpg | success - 200 |
| 91 | GET | http://localhost:5173/cesium/Assets/Textures/SkyBox/tycho2t3_80_pz.jpg | success - 200 |
| 92 | GET | http://localhost:5173/cesium/Assets/Textures/SkyBox/tycho2t3_80_mz.jpg | success - 200 |
| 117 | POST | http://localhost:5000/api/disasters-proximity | success - 200 |
